"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47","test_get_single_user","","Mon Aug 12 16:34:24 AMT 2024","passed","Mon Aug 12 16:34:24 AMT 2024","","test_get_single_user","",""
"","263","Register User Successfully","","Mon Aug 12 16:34:25 AMT 2024","passed","Mon Aug 12 16:34:26 AMT 2024","","test_post_register","",""
"","184","Login User Successfully","","Mon Aug 12 16:34:25 AMT 2024","passed","Mon Aug 12 16:34:25 AMT 2024","","test_post_login","",""
"","269","test_get_single_user_not_found","","Mon Aug 12 16:34:24 AMT 2024","passed","Mon Aug 12 16:34:24 AMT 2024","","test_get_single user_not_found","",""
"","3209","Delayed Response for List Users","","Mon Aug 12 16:34:21 AMT 2024","passed","Mon Aug 12 16:34:24 AMT 2024","","test_get_delayed_response","",""
"","339","Delete User","","Mon Aug 12 16:34:21 AMT 2024","passed","Mon Aug 12 16:34:21 AMT 2024","","test_delete_user","",""
"","38","test_get_list_users","","Mon Aug 12 16:34:24 AMT 2024","passed","Mon Aug 12 16:34:24 AMT 2024","","test_get_users","",""
"","217","Update User with valid data","","Mon Aug 12 16:34:26 AMT 2024","passed","Mon Aug 12 16:34:26 AMT 2024","","test_put_update","",""
"","194","Register User Unsuccessfully - Missing Password","","Mon Aug 12 16:34:26 AMT 2024","passed","Mon Aug 12 16:34:26 AMT 2024","","test_post_register_unsuccesfull","",""
"","185","Create User with valid data","","Mon Aug 12 16:34:25 AMT 2024","passed","Mon Aug 12 16:34:25 AMT 2024","","test_post_create","",""
"","201","Login User Unsuccessfully - Missing Password","","Mon Aug 12 16:34:25 AMT 2024","passed","Mon Aug 12 16:34:25 AMT 2024","","test_post_login_unsuccessful","",""
"","200","Patch User with valid data","","Mon Aug 12 16:34:24 AMT 2024","passed","Mon Aug 12 16:34:25 AMT 2024","","test_patch_update","",""
